,year,amount
0,1970,3399.2990369999998
1,1971,3768.297935
2,1972,4251.175484
3,1973,4804.463248
4,1974,5576.514583
5,1975,5998.144346
6,1976,7062.131392
7,1977,7100.1261700000005
8,1978,7247.967035
9,1979,7602.912681
10,1980,8355.96812
11,1981,9434.390652
12,1982,9619.438377
13,1983,10416.53659
14,1984,10790.32872
15,1985,11018.95585
16,1986,11482.891529999999
17,1987,12974.806620000001
18,1988,15080.28345
19,1989,16426.72548
20,1990,16838.6732
21,1991,17266.097690000002
22,1992,16412.08309
23,1993,15875.58673
24,1994,15755.820269999998
25,1995,16369.31725
26,1996,16699.826680000002
27,1997,17310.75775
28,1998,16622.67187
29,1999,17581.02414
30,2000,18987.38241
31,2001,18601.397240000002
32,2002,19232.17556
33,2003,22739.42628
34,2004,25719.14715
35,2005,29198.055689999997
36,2006,32738.2629
37,2007,36144.48122
38,2008,37446.48609
39,2009,32755.17682
40,2010,38420.52289
41,2011,42334.71121
42,2012,42665.25597
43,2013,42676.46837
44,2014,41039.8936
45,2015,35175.18898
46,2016,34229.19363
0,2020,41288.69409441762
1,2021,42117.15916964039
2,2022,42945.624244862935
3,2023,43774.08932008571
4,2024,44602.554395308485
5,2025,45431.01947053103
6,2026,46259.4845457538
7,2027,47087.94962097658
8,2028,47916.414696199354
9,2029,48744.879771421896
10,2030,49573.34484664467
11,2031,50401.80992186745
12,2032,51230.27499708999
13,2033,52058.740072312765
14,2034,52887.20514753554
15,2035,53715.670222758316
16,2036,54544.13529798086
17,2037,55372.60037320363
18,2038,56201.06544842641
19,2039,57029.530523649184
20,2040,57857.99559887173
21,2041,58686.4606740945
22,2042,59514.92574931728
23,2043,60343.39082453982
24,2044,61171.855899762595
25,2045,62000.32097498537
26,2046,62828.786050208146
27,2047,63657.25112543069
28,2048,64485.71620065346
29,2049,65314.18127587624
